"date","close","volume","open","high","low"
"13:43","301.42","43,771,391","301.53","302.63","301.17"
"2019/09/18","301.1000","74192090.0000","300.4900","301.2200","298.2400"
"2019/09/17","300.9200","42904430.0000","299.9400","301.0200","299.7500"
"2019/09/16","300.1600","58191180.0000","299.8400","301.1378","299.4500"
"2019/09/13","301.0900","62104840.0000","301.7800","302.1700","300.6800"
"2019/09/12","301.2900","72908750.0000","301.2500","302.4600","300.4100"
"2019/09/11","300.2500","68821070.0000","298.4700","300.3400","297.7500"
"2019/09/10","298.1300","57947100.0000","297.3600","298.2000","295.9700"
"2019/09/09","298.2000","51260290.0000","299.1400","299.2400","297.1600"
"2019/09/06","298.0500","49584290.0000","298.1700","298.7600","297.4200"
"2019/09/05","297.8200","83356780.0000","296.7900","298.8300","294.0010"
"2019/09/04","294.0400","47003960.0000","293.1400","294.0550","292.3100"
"2019/09/03","290.7400","69231880.0000","290.5700","291.5800","289.2700"
"2019/08/30","292.4500","62961780.0000","294.2200","294.2399","291.4200"
"2019/08/29","292.5800","57998910.0000","291.7200","293.1600","290.6100"
"2019/08/28","288.8900","59852320.0000","286.1400","289.0700","285.2500"
"2019/08/27","286.8700","68263000.0000","289.5400","289.9500","286.0300"
"2019/08/26","288.0000","72620600.0000","287.2700","288.0000","285.5800"
"2019/08/23","284.8500","149318200.0000","290.9200","292.7600","283.4700"
"2019/08/22","292.3600","51739290.0000","293.2300","293.9300","290.4000"
"2019/08/21","292.4500","49723430.0000","292.4800","292.8600","291.7200"
"2019/08/20","290.0900","51652750.0000","291.7700","292.3600","289.9500"
"2019/08/19","292.3300","53640150.0000","292.1900","293.0800","291.4400"
"2019/08/16","288.8500","85825290.0000","286.4800","289.3300","284.7138"
"2019/08/15","284.6500","101929800.0000","284.8800","285.6400","282.3900"
"2019/08/14","283.9000","135622100.0000","288.0700","292.4644","283.7600"
"2019/08/13","292.5500","94792970.0000","287.7400","294.1500","287.3600"
"2019/08/12","288.0700","65527630.0000","289.9600","291.6052","287.0200"
"2019/08/09","291.6200","93729960.0000","292.5800","293.2400","289.6500"
"2019/08/08","293.6200","87713900.0000","289.6200","293.6200","289.0100"
"2019/08/07","287.9700","140572300.0000","284.4000","288.8200","282.0400"
"2019/08/06","287.8000","120711700.0000","285.9100","288.0400","284.2800"
"2019/08/05","283.8200","178745400.0000","288.0900","288.2100","281.7200"
"2019/08/02","292.6200","116749700.0000","293.8500","294.1200","290.9000"
"2019/08/01","294.8400","142646600.0000","297.6000","300.8700","293.9600"
"2019/07/31","297.4300","104245200.0000","300.9900","301.2000","295.2000"
"2019/07/30","300.7200","45849050.0000","299.9100","301.1700","299.4900"
"2019/07/29","301.4600","38126460.0000","301.8800","301.9300","300.8500"
"2019/07/26","302.0100","45084080.0000","300.7600","302.2300","300.6200"
"2019/07/25","300.0000","55394090.0000","300.9400","301.0000","299.1100"
"2019/07/24","301.4400","47213230.0000","299.1900","301.4400","299.0900"
"2019/07/23","300.0300","44657970.0000","299.1400","300.0300","298.2200"
"2019/07/22","297.9000","43687400.0000","297.6100","298.5000","297.0400"
"2019/07/19","297.1700","71081240.0000","300.0400","300.0700","296.9600"
"2019/07/18","298.8300","51701690.0000","297.1900","299.2500","296.7000"
"2019/07/17","297.7400","44102440.0000","299.7500","299.9300","297.7400"
"2019/07/16","299.7100","40567960.0000","300.6500","300.8800","299.4400"
"2019/07/15","300.7500","33910260.0000","301.1300","301.1300","300.1900"
"2019/07/12","300.6500","40354410.0000","299.8500","300.7300","299.5100"
"2019/07/11","299.3100","50889480.0000","299.3200","299.5800","298.2000"
"2019/07/10","298.6100","58595560.0000","298.3700","299.6600","297.7800"
"2019/07/09","297.1900","41101280.0000","295.5400","297.5200","295.4800"
"2019/07/08","296.8200","45841770.0000","297.0100","298.2579","296.2200"
"2019/07/05","298.4600","51677330.0000","297.4400","298.6400","296.0100"
"2019/07/03","298.8000","40898900.0000","297.1800","298.8200","297.0200"
"2019/07/02","296.4300","61504540.0000","295.6100","296.4900","294.6800"
"2019/07/01","295.6600","79107470.0000","296.6800","296.9200","294.3300"
"2019/06/28","293.0000","59350930.0000","292.5800","293.5500","292.0100"
"2019/06/27","291.5000","40355240.0000","291.3100","292.0600","290.8900"
"2019/06/26","290.4700","51584900.0000","291.7500","292.3100","290.3450"
"2019/06/25","290.7600","82028660.0000","293.7000","293.7300","290.6400"
"2019/06/24","293.6400","47582730.0000","294.2300","294.5800","293.4700"
"2019/06/21","294.0000","83309470.0000","294.1300","295.5200","293.7600"
"2019/06/20","295.8600","116570000.0000","296.0400","296.3093","293.1255"
"2019/06/19","293.0600","78674380.0000","292.5500","293.6500","291.4700"
"2019/06/18","292.4000","85434820.0000","291.3900","293.5700","290.9900"
